CST,UT,IQ,CC,WV,Notes
2025-01-31,2025-02-01,na,50,,
2025-02-01,2025-02-02,70,50,,
2025-02-02,2025-02-03,70,na,,
2025-02-03,2025-02-04,na,na,,
2025-02-04,2025-02-05,na,70,,
2025-02-05,2025-02-06,na,ANY,,
2025-02-06,2025-02-07,na,na,,
2025-02-07,2025-02-08,na,na,,
2025-02-08,2025-02-09,na,50,,
2025-02-09,2025-02-10,na,na,,
2025-02-10,2025-02-11,na,na,,
2025-02-11,2025-02-12,na,na,,
2025-02-12,2025-02-13,na,na,,
2025-02-13,2025-02-14,na,na,,
2025-02-14,2025-02-15,na,50,,
2025-02-15,2025-02-16,na,50,,
2025-02-16,2025-02-17,na,50,,
2025-02-17,2025-02-18,na,na,,
2025-02-18,2025-02-19,na,80,,
2025-02-19,2025-02-20,na,50,,
2025-02-20,2025-02-21,na,na,,
2025-02-21,2025-02-22,na,na,,
2025-02-22,2025-02-23,na,na,,
2025-02-23,2025-02-24,na,50,,
2025-02-24,2025-02-25,85,na,,
2025-02-25,2025-02-26,na,na,,
2025-02-26,2025-02-27,na,50,,
2025-02-27,2025-02-28,na,ANY,,
2025-02-28,2025-03-01,na,na,,
2025-03-01,2025-03-02,70,50,,
2025-03-02,2025-03-03,70,50,,
2025-03-03,2025-03-04,85,50,,
2025-03-04,2025-03-05,na,na,,
2025-03-05,2025-03-06,70,50,,
2025-03-06,2025-03-07,85,80,,
2025-03-07,2025-03-08,85,50,,
2025-03-08,2025-03-09,70,50,,
2025-03-09,2025-03-10,70,50,,
2025-03-10,2025-03-11,70,50,,
2025-03-11,2025-03-12,70,50,,
2025-03-12,2025-03-13,ANY,na,,
2025-03-13,2025-03-14,na,na,,
2025-03-14,2025-03-15,na,na,,
2025-03-15,2025-03-16,na,na,,
2025-03-16,2025-03-17,85,na,,
2025-03-17,2025-03-18,ANY,50,,
2025-03-18,2025-03-19,60,50,,
2025-03-19,2025-03-20,85,50,,
2025-03-20,2025-03-21,70,50,,
2025-03-21,2025-03-22,70,na,,
2025-03-22,2025-03-23,70,na,,
2025-03-23,2025-03-24,na,50,,
2025-03-24,2025-03-25,ANY,50,,
2025-03-25,2025-03-26,na,na,,
2025-03-26,2025-03-27,na,na,,
2025-03-27,2025-03-28,70,na,,
2025-03-28,2025-03-29,70,50,,
2025-03-29,2025-03-30,70,50,,
2025-03-30,2025-03-31,70,50,,
2025-03-31,2025-04-01,85,70,,
2025-04-01,2025-04-02,70,70,,
2025-04-02,2025-04-03,85,70,,
2025-04-03,2025-04-04,na,50,,
2025-04-04,2025-04-05,na,na,,
2025-04-05,2025-04-06,na,na,,
2025-04-06,2025-04-07,ANY,na,,
2025-04-07,2025-04-08,na,na,,
2025-04-08,2025-04-09,na,na,,
2025-04-09,2025-04-10,na,na,,
2025-04-10,2025-04-11,na,na,,
2025-04-11,2025-04-12,na,50,,
2025-04-12,2025-04-13,85,na,,
2025-04-13,2025-04-14,na,na,,
2025-04-14,2025-04-15,na,na,,
2025-04-15,2025-04-16,na,na,,
2025-04-16,2025-04-17,70,na,,
2025-04-17,2025-04-18,ANY,80,,
2025-04-18,2025-04-19,na,na,,
2025-04-19,2025-04-20,na,na,,
2025-04-20,2025-04-21,70,na,,
2025-04-21,2025-04-22,na,na,,
2025-04-22,2025-04-23,na,na,,
2025-04-23,2025-04-24,na,70,,
2025-04-24,2025-04-25,70,80,,
2025-04-25,2025-04-26,na,ANY,,
2025-04-26,2025-04-27,70,50,,
2025-04-27,2025-04-28,na,na,,
2025-04-28,2025-04-29,na,50,,
2025-04-29,2025-04-30,na,na,,
2025-04-30,2025-05-01,na,ANY,,
2025-05-01,2025-05-02,na,ANY,,
2025-05-02,2025-05-03,na,na,,
2025-05-03,2025-05-04,na,na,,
